Country,Region,Income Group,isocode,year,id,isocode.1,factor1,f1.2 Government powers are effectively limited by the legislature,f1.3 Government powers are effectively limited by the judiciary,f1.4 Government powers are effectively limited by independent auditing and review,f1.5 Government officials are sanctioned for misconduct,f1.6 Government powers are subject to non-governmental checks,f1.7 Transition of power is subject to the law,factor2,f2.1 Government officials in the executive branch do not use public office for private gain,f2.2 Government officials in the judicial branch do not use public office for private gain,f2.3 Government officials in the police and the military do not use public office for private gain,f2.4 Government officials in the legislative branch do not use public office for private gain,factor3,f3.1 Crime is effectively controlled,f3.2 Civil conflict is effectively limited,f3.3 People do not resort to violence to redress personal grievances,factor4,f4.1 Equal treatment and absence of discrimination,f4.2 The right to life and security of the person is effectively guaranteed,f4.3 Due process of law and rights of the accused,f4.4 Freedom of opinion and expression is effectively guaranteed,f4.5 Freedom of belief and religion is effectively guaranteed,f4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,f4.7 Freedom of assembly and association is effectively guaranteed,f4.8 Fundamental labor rights are effectively guaranteed,factor5,f5.1 The laws are publicized and accessible,f5.2 The laws are stable,f5.3 Right to petition the government and public participation,f5.4 Official information is available on request,factor6,f6.1 Government regulations are effectively enforced,f6.2 Government regulations are applied and enforced without improper influence,f6.3 Administrative proceedings are conducted without unreasonable delay,f6.4 Due process is respected in administrative proceedings,f6.5 The Government does not expropriate without adequate compensation,factor7,f7.1 People can access and afford civil justice,f7.2 Civil justice is free of discrimination,f7.3 Civil justice is free of corruption,f7.4 Civil justice is free of improper government influence,f7.5 Civil justice is not subject to unreasonable delays,f7.6 Civil justice is effectively enforced,"f7.7 ADRs are accessible, impartial, and effective",factor8,f8.1 Criminal investigation system is effective,f8.2 Criminal adjudication system is timely and effective,f8.3 Correctional system is effective in reducing criminal behavior,f8.4 Criminal system is impartial,f8.5 Criminal system is free of corruption,f8.6 Criminal system is free of improper government influence,f8.7 Due process of law and rights of the accused
Brazil,Latin America & Caribbean,Upper middle income,BRA,2012,BRA2012,BRA,0.62,0.73,0.62,0.46,0.38,0.73,0.81,0.52,0.52,0.67,0.64,0.25,0.64,0.44,1.0,0.46,0.69,0.69,0.66,0.44,0.73,0.83,0.73,0.76,0.73,0.54,0.47,0.57,0.52,0.62,0.56,0.57,0.64,0.48,0.52,0.57,0.55,0.64,0.69,0.66,0.69,0.26,0.36,0.58,0.49,0.49,0.42,0.23,0.37,0.61,0.84,0.44
Bulgaria,Eastern Europe & Central Asia,Upper middle income,BGR,2012,BGR2012,BGR,0.51,0.51,0.41,0.46,0.34,0.68,0.68,0.46,0.45,0.47,0.57,0.33,0.74,0.79,1.0,0.43,0.68,0.61,0.74,0.51,0.69,0.76,0.64,0.84,0.64,0.53,0.54,0.48,0.58,0.52,0.5,0.5,0.45,0.55,0.42,0.57,0.57,0.58,0.71,0.49,0.6,0.38,0.48,0.72,0.39,0.23,0.4,0.29,0.24,0.4,0.64,0.51
Burkina Faso,Sub-Saharan Africa,Low income,BFA,2012,BFA2012,BFA,0.43,0.4,0.41,0.39,0.36,0.5,0.53,0.5,0.51,0.58,0.52,0.38,0.7,0.79,1.0,0.32,0.59,0.7,0.49,0.38,0.51,0.8,0.4,0.71,0.7,0.41,0.32,0.48,0.44,0.4,0.56,0.5,0.63,0.53,0.48,0.68,0.59,0.46,0.68,0.56,0.56,0.54,0.61,0.72,0.45,0.56,0.47,0.26,0.6,0.45,0.41,0.38
Cambodia,East Asia & Pacific,Low income,KHM,2012,KHM2012,KHM,0.34,0.43,0.26,0.24,0.37,0.36,0.38,0.31,0.39,0.19,0.19,0.47,0.7,0.84,0.92,0.35,0.43,0.49,0.42,0.34,0.36,0.41,0.38,0.47,0.6,0.37,0.45,0.31,0.45,0.25,0.33,0.32,0.3,0.54,0.15,0.33,0.37,0.39,0.25,0.18,0.46,0.41,0.38,0.56,0.4,0.53,0.51,0.26,0.39,0.2,0.54,0.34
Cameroon,Sub-Saharan Africa,Lower middle income,CMR,2012,CMR2012,CMR,0.31,0.24,0.27,0.44,0.38,0.36,0.16,0.2,0.23,0.28,0.19,0.11,0.62,0.74,0.83,0.28,0.42,0.4,0.43,0.28,0.36,0.63,0.35,0.52,0.39,0.27,0.34,0.25,0.27,0.21,0.28,0.35,0.29,0.18,0.25,0.35,0.35,0.43,0.44,0.26,0.36,0.18,0.21,0.54,0.32,0.42,0.33,0.06,0.4,0.22,0.51,0.28
Canada,Western Europe & North America,High income,CAN,2012,CAN2012,CAN,0.78,0.78,0.78,0.81,0.71,0.76,0.85,0.81,0.8,0.88,0.85,0.69,0.88,0.9,1.0,0.74,0.78,0.62,0.88,0.76,0.76,0.87,0.85,0.82,0.67,0.84,0.82,0.88,0.82,0.84,0.79,0.7,0.83,0.72,0.85,0.83,0.72,0.64,0.65,0.84,0.83,0.47,0.79,0.84,0.75,0.82,0.74,0.69,0.56,0.8,0.86,0.76
Chile,Latin America & Caribbean,Upper middle income,CHL,2012,CHL2012,CHL,0.74,0.78,0.66,0.76,0.59,0.74,0.89,0.74,0.78,0.78,0.83,0.56,0.7,0.77,1.0,0.34,0.73,0.57,0.84,0.61,0.74,0.79,0.82,0.77,0.69,0.68,0.54,0.89,0.52,0.78,0.66,0.57,0.7,0.74,0.49,0.77,0.66,0.77,0.65,0.69,0.74,0.38,0.6,0.8,0.6,0.61,0.68,0.26,0.56,0.73,0.77,0.61
China,East Asia & Pacific,Upper middle income,CHN,2012,CHN2012,CHN,0.36,0.65,0.45,0.35,0.37,0.11,0.25,0.52,0.49,0.4,0.65,0.53,0.78,0.75,0.92,0.68,0.35,0.6,0.46,0.49,0.1,0.16,0.34,0.13,0.55,0.42,0.69,0.5,0.23,0.27,0.41,0.41,0.46,0.54,0.35,0.27,0.43,0.58,0.45,0.37,0.1,0.64,0.35,0.52,0.54,0.77,0.59,0.63,0.65,0.59,0.09,0.49
Colombia,Latin America & Caribbean,Upper middle income,COL,2012,COL2012,COL,0.55,0.61,0.49,0.46,0.44,0.61,0.66,0.44,0.52,0.51,0.52,0.2,0.43,0.39,0.58,0.31,0.55,0.54,0.47,0.43,0.61,0.65,0.48,0.64,0.56,0.51,0.54,0.38,0.55,0.59,0.52,0.44,0.6,0.32,0.53,0.7,0.53,0.64,0.57,0.49,0.61,0.26,0.44,0.74,0.43,0.49,0.39,0.21,0.43,0.44,0.63,0.43
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,CIV,2012,CIV2012,CIV,0.43,0.46,0.35,0.41,0.41,0.45,0.48,0.39,0.44,0.35,0.47,0.32,0.58,0.6,0.75,0.37,0.5,0.65,0.28,0.29,0.46,0.77,0.25,0.64,0.67,0.37,0.25,0.33,0.51,0.4,0.48,0.36,0.47,0.52,0.42,0.65,0.51,0.48,0.54,0.42,0.51,0.39,0.49,0.74,0.37,0.43,0.49,0.11,0.38,0.37,0.54,0.29
Croatia,Eastern Europe & Central Asia,High income,HRV,2012,HRV2012,HRV,0.61,0.67,0.49,0.56,0.48,0.68,0.79,0.55,0.52,0.62,0.66,0.39,0.77,0.87,1.0,0.43,0.67,0.66,0.73,0.66,0.69,0.67,0.5,0.74,0.71,0.53,0.6,0.56,0.43,0.52,0.48,0.55,0.52,0.34,0.43,0.59,0.51,0.65,0.65,0.56,0.5,0.21,0.31,0.71,0.53,0.51,0.43,0.37,0.53,0.58,0.6,0.66
Czech Republic,Eastern Europe & Central Asia,High income,CZE,2012,CZE2012,CZE,0.71,0.79,0.68,0.69,0.53,0.74,0.84,0.62,0.61,0.79,0.78,0.29,0.81,0.8,1.0,0.63,0.79,0.72,0.9,0.77,0.74,0.8,0.83,0.81,0.71,0.49,0.5,0.51,0.49,0.45,0.59,0.63,0.67,0.51,0.45,0.7,0.65,0.67,0.71,0.71,0.75,0.26,0.64,0.79,0.7,0.61,0.63,0.57,0.75,0.69,0.85,0.77
Denmark,Western Europe & North America,High income,DNK,2012,DNK2012,DNK,0.93,0.91,0.92,0.94,0.89,0.95,0.96,0.95,0.94,0.96,0.96,0.95,0.91,0.89,1.0,0.85,0.91,0.8,0.96,0.91,0.95,0.86,0.94,0.94,0.92,0.82,0.71,0.93,0.82,0.84,0.85,0.82,0.91,0.84,0.82,0.84,0.79,0.76,0.83,0.94,0.9,0.51,0.77,0.79,0.87,0.91,0.84,0.77,0.76,0.96,0.95,0.91
Dominican Republic,Latin America & Caribbean,Upper middle income,DOM,2012,DOM2012,DOM,0.53,0.61,0.43,0.39,0.37,0.72,0.66,0.36,0.42,0.46,0.45,0.1,0.6,0.58,1.0,0.22,0.67,0.66,0.57,0.55,0.73,0.77,0.56,0.82,0.71,0.52,0.65,0.64,0.36,0.45,0.45,0.42,0.55,0.41,0.39,0.47,0.51,0.57,0.63,0.44,0.48,0.42,0.4,0.64,0.47,0.5,0.49,0.16,0.61,0.44,0.55,0.55
Ecuador,Latin America & Caribbean,Upper middle income,ECU,2012,ECU2012,ECU,0.41,0.4,0.28,0.38,0.34,0.51,0.53,0.47,0.55,0.33,0.61,0.38,0.56,0.42,1.0,0.27,0.56,0.57,0.66,0.45,0.51,0.61,0.47,0.6,0.61,0.38,0.45,0.24,0.44,0.38,0.46,0.45,0.54,0.48,0.41,0.44,0.42,0.57,0.47,0.34,0.43,0.18,0.28,0.7,0.44,0.5,0.49,0.19,0.39,0.49,0.53,0.45
Egypt,Middle East & North Africa,Lower middle income,EGY,2012,EGY2012,EGY,0.58,0.66,0.64,0.53,0.49,0.6,0.53,0.51,0.55,0.58,0.5,0.43,0.67,0.82,0.92,0.27,0.43,0.47,0.36,0.31,0.61,0.32,0.32,0.64,0.44,0.48,0.55,0.52,0.53,0.32,0.42,0.41,0.43,0.28,0.36,0.62,0.47,0.52,0.32,0.6,0.64,0.31,0.28,0.6,0.45,0.55,0.5,0.28,0.47,0.53,0.53,0.31
El Salvador,Latin America & Caribbean,Lower middle income,SLV,2012,SLV2012,SLV,0.5,0.69,0.43,0.3,0.28,0.63,0.63,0.45,0.47,0.44,0.63,0.27,0.58,0.46,1.0,0.28,0.58,0.54,0.55,0.27,0.64,0.8,0.5,0.72,0.61,0.37,0.49,0.42,0.39,0.21,0.52,0.42,0.61,0.56,0.5,0.49,0.49,0.54,0.56,0.46,0.51,0.37,0.42,0.58,0.25,0.19,0.26,0.05,0.05,0.47,0.45,0.27
Estonia,Eastern Europe & Central Asia,High income,EST,2012,EST2012,EST,0.79,0.77,0.81,0.78,0.78,0.77,0.87,0.77,0.75,0.86,0.91,0.58,0.82,0.79,1.0,0.68,0.79,0.8,0.88,0.75,0.77,0.83,0.78,0.78,0.71,0.71,0.65,0.82,0.66,0.72,0.73,0.77,0.85,0.7,0.6,0.71,0.71,0.63,0.8,0.87,0.82,0.44,0.64,0.75,0.75,0.67,0.69,0.7,0.68,0.81,0.93,0.75
Ethiopia,Sub-Saharan Africa,Low income,ETH,2012,ETH2012,ETH,0.36,0.41,0.34,0.39,0.49,0.25,0.28,0.44,0.46,0.31,0.49,0.5,0.56,0.69,0.58,0.41,0.41,0.48,0.46,0.41,0.25,0.67,0.33,0.3,0.35,0.29,0.5,0.14,0.34,0.2,0.36,0.37,0.51,0.35,0.15,0.43,0.46,0.45,0.47,0.35,0.38,0.41,0.44,0.68,0.49,0.67,0.53,0.37,0.58,0.47,0.43,0.41
Finland,Western Europe & North America,High income,FIN,2012,FIN2012,FIN,0.89,0.88,0.87,0.91,0.87,0.88,0.94,0.93,0.95,0.97,0.97,0.84,0.92,0.9,1.0,0.85,0.9,0.86,0.99,0.91,0.88,0.81,1.0,0.9,0.86,0.84,0.72,0.97,0.77,0.89,0.82,0.75,0.88,0.86,0.84,0.76,0.79,0.69,0.96,0.92,0.82,0.6,0.82,0.71,0.87,0.9,0.81,0.78,0.8,0.92,0.94,0.91
France,Western Europe & North America,High income,FRA,2012,FRA2012,FRA,0.8,0.81,0.75,0.7,0.71,0.83,0.98,0.8,0.79,0.84,0.9,0.68,0.84,0.87,1.0,0.65,0.79,0.69,0.79,0.74,0.83,0.83,0.68,0.97,0.76,0.75,0.74,0.65,0.87,0.75,0.76,0.72,0.83,0.76,0.75,0.75,0.68,0.66,0.68,0.79,0.71,0.57,0.65,0.73,0.69,0.54,0.65,0.49,0.77,0.84,0.78,0.74
Georgia,Eastern Europe & Central Asia,Lower middle income,GEO,2012,GEO2012,GEO,0.48,0.49,0.38,0.43,0.59,0.58,0.44,0.77,0.76,0.64,0.98,0.7,0.84,0.98,0.83,0.7,0.61,0.77,0.66,0.56,0.58,0.68,0.38,0.6,0.63,0.47,0.57,0.45,0.35,0.49,0.63,0.61,0.88,0.66,0.59,0.42,0.61,0.74,0.58,0.61,0.4,0.61,0.65,0.71,0.66,0.79,0.67,0.56,0.9,0.82,0.3,0.56
Germany,Western Europe & North America,High income,DEU,2012,DEU2012,DEU,0.82,0.86,0.82,0.76,0.76,0.8,0.92,0.82,0.83,0.92,0.88,0.66,0.86,0.88,1.0,0.7,0.8,0.77,0.89,0.77,0.8,0.81,0.78,0.81,0.79,0.73,0.65,0.88,0.72,0.66,0.73,0.69,0.77,0.59,0.81,0.8,0.8,0.71,0.87,0.85,0.83,0.68,0.87,0.78,0.76,0.76,0.73,0.69,0.69,0.83,0.85,0.77
Ghana,Sub-Saharan Africa,Low income,GHA,2012,GHA2012,GHA,0.72,0.84,0.7,0.52,0.55,0.85,0.88,0.45,0.45,0.64,0.27,0.43,0.68,0.77,1.0,0.27,0.72,0.72,0.63,0.48,0.85,0.82,0.63,0.95,0.67,0.55,0.44,0.62,0.7,0.45,0.52,0.52,0.52,0.52,0.38,0.67,0.61,0.61,0.7,0.63,0.69,0.36,0.47,0.77,0.45,0.36,0.31,0.35,0.5,0.43,0.7,0.48
Greece,Western Europe & North America,High income,GRC,2012,GRC2012,GRC,0.64,0.66,0.58,0.58,0.44,0.73,0.86,0.56,0.48,0.71,0.77,0.29,0.73,0.79,1.0,0.41,0.72,0.66,0.8,0.53,0.74,0.75,0.82,0.79,0.66,0.51,0.39,0.54,0.41,0.7,0.54,0.52,0.41,0.55,0.58,0.64,0.61,0.7,0.78,0.69,0.67,0.22,0.47,0.78,0.5,0.56,0.46,0.22,0.37,0.65,0.74,0.53
Guatemala,Latin America & Caribbean,Lower middle income,GTM,2012,GTM2012,GTM,0.52,0.61,0.43,0.42,0.26,0.66,0.76,0.29,0.39,0.28,0.4,0.11,0.59,0.43,1.0,0.33,0.59,0.43,0.59,0.47,0.67,0.72,0.7,0.69,0.47,0.46,0.4,0.55,0.47,0.41,0.43,0.41,0.48,0.35,0.46,0.48,0.41,0.41,0.51,0.3,0.53,0.21,0.25,0.64,0.37,0.37,0.3,0.15,0.44,0.28,0.61,0.47
"Hong Kong SAR, China",East Asia & Pacific,High income,HKG,2012,HKG2012,HKG,0.73,0.89,0.82,0.74,0.76,0.5,0.64,0.89,0.85,0.93,0.9,0.88,0.93,0.98,1.0,0.8,0.71,0.72,0.83,0.78,0.51,0.69,0.77,0.56,0.79,0.82,0.85,0.93,0.57,0.91,0.75,0.55,0.81,0.89,0.85,0.65,0.71,0.73,0.76,0.88,0.53,0.62,0.66,0.76,0.76,0.88,0.81,0.71,0.75,0.85,0.55,0.78
Hungary,Eastern Europe & Central Asia,High income,HUN,2012,HUN2012,HUN,0.63,0.59,0.64,0.42,0.57,0.71,0.83,0.72,0.66,0.82,0.86,0.55,0.83,0.8,1.0,0.69,0.72,0.61,0.83,0.61,0.72,0.59,0.79,0.76,0.82,0.52,0.63,0.46,0.54,0.45,0.6,0.7,0.73,0.42,0.56,0.57,0.55,0.56,0.44,0.87,0.67,0.31,0.32,0.68,0.64,0.76,0.58,0.46,0.48,0.84,0.75,0.61
India,South Asia,Lower middle income,IND,2012,IND2012,IND,0.61,0.71,0.67,0.49,0.36,0.72,0.71,0.32,0.32,0.49,0.29,0.19,0.39,0.54,0.33,0.31,0.56,0.45,0.36,0.39,0.73,0.72,0.49,0.75,0.56,0.48,0.43,0.47,0.55,0.47,0.41,0.31,0.35,0.29,0.49,0.6,0.45,0.46,0.5,0.47,0.68,0.2,0.26,0.55,0.44,0.45,0.4,0.39,0.35,0.43,0.67,0.39
Indonesia,East Asia & Pacific,Lower middle income,IDN,2012,IDN2012,IDN,0.64,0.74,0.54,0.57,0.59,0.73,0.68,0.3,0.41,0.34,0.37,0.11,0.72,0.95,1.0,0.2,0.56,0.47,0.48,0.39,0.74,0.51,0.47,0.83,0.61,0.53,0.44,0.72,0.51,0.43,0.5,0.36,0.41,0.57,0.59,0.58,0.49,0.62,0.58,0.33,0.67,0.45,0.34,0.47,0.45,0.48,0.51,0.26,0.42,0.4,0.66,0.39
Iran,Middle East & North Africa,Upper middle income,IRN,2012,IRN2012,IRN,0.37,0.49,0.48,0.32,0.29,0.31,0.33,0.49,0.46,0.54,0.54,0.4,0.68,0.69,0.66,0.67,0.27,0.46,0.19,0.39,0.31,0.15,0.08,0.28,0.33,0.38,0.59,0.4,0.39,0.16,0.54,0.55,0.55,0.58,0.44,0.61,0.62,0.63,0.62,0.57,0.57,0.53,0.69,0.76,0.45,0.59,0.5,0.49,0.32,0.49,0.38,0.39
Italy,Western Europe & North America,High income,ITA,2012,ITA2012,ITA,0.67,0.73,0.67,0.64,0.54,0.7,0.75,0.62,0.61,0.79,0.82,0.27,0.76,0.83,1.0,0.47,0.72,0.6,0.85,0.69,0.7,0.74,0.8,0.78,0.63,0.49,0.45,0.47,0.47,0.56,0.56,0.58,0.64,0.39,0.56,0.61,0.56,0.62,0.5,0.73,0.7,0.29,0.33,0.74,0.67,0.71,0.59,0.43,0.66,0.76,0.87,0.69
Jamaica,Latin America & Caribbean,Upper middle income,JAM,2012,JAM2012,JAM,0.6,0.67,0.65,0.52,0.4,0.63,0.72,0.51,0.52,0.7,0.59,0.24,0.6,0.69,1.0,0.11,0.59,0.59,0.42,0.4,0.63,0.81,0.51,0.7,0.61,0.41,0.37,0.41,0.43,0.44,0.55,0.5,0.69,0.42,0.53,0.59,0.51,0.55,0.44,0.68,0.67,0.29,0.34,0.58,0.42,0.41,0.31,0.16,0.33,0.6,0.71,0.4
Japan,East Asia & Pacific,High income,JPN,2012,JPN2012,JPN,0.8,0.89,0.84,0.64,0.79,0.84,0.81,0.84,0.87,0.84,0.9,0.77,0.89,0.92,1.0,0.74,0.78,0.81,0.79,0.69,0.84,0.78,0.71,0.84,0.8,0.82,0.84,0.73,0.88,0.83,0.87,0.83,0.91,0.77,0.87,0.94,0.77,0.64,0.83,0.85,0.79,0.65,0.79,0.83,0.68,0.63,0.58,0.6,0.65,0.84,0.77,0.69
Jordan,Middle East & North Africa,Upper middle income,JOR,2012,JOR2012,JOR,0.55,0.62,0.61,0.65,0.58,0.49,0.34,0.57,0.59,0.67,0.62,0.4,0.75,0.94,1.0,0.31,0.5,0.56,0.44,0.5,0.49,0.62,0.33,0.61,0.42,0.46,0.65,0.51,0.31,0.38,0.59,0.57,0.67,0.48,0.5,0.72,0.65,0.65,0.75,0.73,0.68,0.36,0.67,0.68,0.52,0.42,0.58,0.49,0.44,0.57,0.62,0.5
Kazakhstan,Eastern Europe & Central Asia,Upper middle income,KAZ,2012,KAZ2012,KAZ,0.35,0.36,0.31,0.33,0.37,0.35,0.35,0.38,0.41,0.36,0.45,0.3,0.74,0.79,1.0,0.43,0.5,0.61,0.5,0.44,0.35,0.67,0.33,0.44,0.63,0.36,0.57,0.2,0.37,0.29,0.44,0.55,0.46,0.49,0.16,0.52,0.49,0.48,0.41,0.34,0.49,0.62,0.51,0.54,0.46,0.49,0.63,0.44,0.37,0.41,0.42,0.44
Kenya,Sub-Saharan Africa,Low income,KEN,2012,KEN2012,KEN,0.45,0.56,0.39,0.36,0.34,0.6,0.43,0.27,0.32,0.44,0.26,0.06,0.62,0.66,1.0,0.2,0.54,0.43,0.43,0.41,0.61,0.74,0.39,0.78,0.49,0.44,0.39,0.48,0.49,0.38,0.39,0.37,0.36,0.35,0.41,0.47,0.47,0.5,0.47,0.36,0.51,0.35,0.48,0.64,0.4,0.44,0.3,0.29,0.33,0.34,0.66,0.41
Kyrgyzstan,Eastern Europe & Central Asia,Low income,KGZ,2012,KGZ2012,KGZ,0.44,0.58,0.3,0.29,0.31,0.57,0.56,0.26,0.38,0.17,0.37,0.13,0.74,0.78,1.0,0.43,0.51,0.41,0.46,0.32,0.58,0.62,0.38,0.71,0.62,0.44,0.49,0.45,0.44,0.38,0.43,0.51,0.41,0.47,0.39,0.38,0.46,0.64,0.54,0.19,0.44,0.42,0.49,0.49,0.35,0.39,0.48,0.24,0.3,0.24,0.49,0.32
